"dgp","error_distribution","running_variable","setup","p1","n","true_treatment_effect","median_bias_iv_ccf","median_bias_iv_ik","median_bias_lambda_1_ccf","median_bias_lambda_1_ik","median_bias_lambda_4_ccf","median_bias_lambda_4_ik","mad_iv_ccf","mad_iv_ik","mad_lambda_1_ccf","mad_lambda_1_ik","mad_lambda_4_ccf","mad_lambda_4_ik","rmse_iv_ccf","rmse_iv_ik","rmse_lambda_1_ccf","rmse_lambda_1_ik","rmse_lambda_4_ccf","rmse_lambda_4_ik","cov_iv_ccf","cov_iv_ik","cov_lambda_1_ccf","cov_lambda_1_ik","cov_lambda_4_ccf","cov_lambda_4_ik","cov_ar_ba_1","cov_ar_ba_2"
2,2,1,3,0.8,300,-3.44,-1.30685401741038,-0.932853797831644,-0.594630368932721,-0.261605601046257,0.20706042329013,0.304919159447584,1.33942086359982,0.958352949487582,0.718578364427124,0.567311697994954,0.398537073068486,0.433100367339893,36.9289949972264,39.844735372458,1.4327014876425,1.14341465833219,0.666948214294271,0.616665196111901,0.9777,0.9661,0.9851,0.9706,0.9361,0.9062,0.9452,0.8902
2,2,1,3,0.9,300,-3.44,-0.175359004081812,0.0817435704567484,0.17716886079056,0.468770402950621,0.409755461221846,0.631107504007409,0.43903472628148,0.414847928156857,0.441441806022905,0.554013707517389,0.4700343616506,0.647794820356788,5.33770769598315,4.09328215673081,0.734338969514845,0.73510744322276,0.627265190097416,0.762238027512284,0.9737,0.9683,0.904,0.7497,0.8361,0.647,0.9867,0.9745
2,2,1,1,0.6,600,-3.44,-7.89713344779891,-7.99056942937831,-3.58594151045131,-3.88674456953909,-0.252784817115398,-0.637625990276717,11.2876263131561,10.1426287544964,4.07508031862412,4.21252203605365,0.910503247269534,1.00452064173076,4222.54705020216,614378.188747996,4.87931196118799,4.79988762584792,2.11602589188921,1.85718494996452,0.9878,0.9782,0.8573,0.9044,0.7232,0.7997,0.5895,0.2168
2,2,1,1,0.7,600,-3.44,-3.93301444811127,-3.39392128015077,-2.56031190589873,-2.20014896111019,-0.77820853731456,-0.858801195092042,4.05403137930609,3.43687190678958,2.60642140356497,2.21310573452236,0.833625610280453,0.876782939469035,73.0730894219867,33.661805788545,3.25288694869206,2.90866626660378,1.12452756575222,1.07736015595902,0.9656,0.9113,0.9886,0.9959,0.9648,0.9868,0.7649,0.4549
2,2,1,1,0.8,600,-3.44,-1.5419563506056,-1.17800289496198,-1.00830030100305,-0.615307903794013,-0.445018367533053,-0.233808975961687,1.54471337734485,1.17921286745382,1.01121429567536,0.656796627705381,0.49898420845966,0.407706813144556,4.93586484092936,3.82791424164446,1.66011780222007,1.24632267535185,0.784045992157275,0.671860544064952,0.9438,0.8651,0.9979,0.9907,0.993,0.9773,0.9027,0.7509
2,2,1,1,0.9,600,-3.44,-0.330499411331819,-0.0594036200777812,-0.0399801127458081,0.282855450066597,0.111005091801896,0.385039300072751,0.398130570909953,0.319633266526154,0.332407353938246,0.391122137392855,0.315410888793615,0.430340818424603,0.969586137514993,0.609807464259673,0.587847814323588,0.551862009542633,0.470364196466863,0.563274439699043,0.9554,0.9197,0.9492,0.7856,0.92,0.7212,0.9745,0.9503
2,2,1,2,0.6,600,-3.44,-8.04370340986173,-8.14103030809143,-3.83810979420695,-4.28707468272723,-0.464528912273187,-0.974232166910572,11.48450869916,10.1622098274852,4.3455724793775,4.57735145924502,1.0961627132737,1.28384351153932,5144.30468521923,802.114531961186,5.13037237309634,5.12397380125081,2.16556814709688,1.94934062643792,0.9908,0.9782,0.8665,0.9166,0.7411,0.8272,0.5956,0.2071
2,2,1,2,0.7,600,-3.44,-3.75270269831275,-3.28694323191235,-2.55953973311585,-2.17960613724442,-0.962917541059332,-1.05624708177512,3.86569611017348,3.3120223303733,2.59165748762206,2.18468119011041,1.00750680159164,1.06666468664668,313.284581529044,46.3120018083854,3.3292428244958,2.9778821663734,1.27567907733633,1.26387260538256,0.9624,0.896,0.9893,0.9977,0.9716,0.9931,0.7721,0.4462
2,2,1,2,0.8,600,-3.44,-1.48164929733107,-1.09055058842107,-0.960248548517955,-0.557303308346175,-0.493232731736774,-0.258244842583048,1.48368361218655,1.09123923569494,0.96120798823668,0.600439931427009,0.533679241427525,0.418031799827018,38.8578775773396,2.60316357035623,1.6371446273386,1.20687854155374,0.840487368882317,0.711750396937939,0.9354,0.8422,0.9979,0.9853,0.9937,0.9739,0.9009,0.7337
2,2,1,2,0.9,600,-3.44,-0.273872006744418,-0.0110512744474547,0.00842528181234448,0.332076840547489,0.131774313499135,0.412431998146209,0.373194028641205,0.321219953601077,0.330953031738562,0.427357135783495,0.319529162859022,0.45615016679499,1.14186117595711,0.61422630877786,0.597522995993303,0.588703583128988,0.48908044675587,0.594293815791611,0.9535,0.9199,0.9161,0.7161,0.8894,0.6652,0.9769,0.9511
2,2,1,3,0.6,600,-3.44,-7.90619338917679,-7.93779444184931,-3.61667537855963,-3.94504036594856,-0.265023449621594,-0.689138541165323,11.4563838111938,10.2189460092735,4.13393627838234,4.29012991177681,0.944535772748449,1.0485118279635,1039.01790741086,21456.658819862,4.93035825335778,4.86072672969076,2.1436031052384,1.88385570718396,0.9889,0.9789,0.8574,0.9036,0.7254,0.8022,0.5998,0.211
2,2,1,3,0.7,600,-3.44,-3.86220244326744,-3.39349691864695,-2.58354517409671,-2.19148936965607,-0.803676355233979,-0.89144253414141,4.00264982470381,3.44490975051351,2.63142104048065,2.20528354914525,0.860766596364057,0.911756859477022,740.000379469367,28.5224435998988,3.27782881422551,2.94518951125087,1.14618382142016,1.11200548503287,0.9669,0.9092,0.9876,0.9962,0.9667,0.9864,0.7649,0.4539
2,2,1,3,0.8,600,-3.44,-1.53890727399051,-1.16332163175381,-1.00943272928217,-0.592514705837851,-0.465480582668735,-0.23461111071839,1.54010374643863,1.16463593738946,1.01259099515178,0.636274295412822,0.51442660291384,0.410749005787209,18.4088487206125,3.08561111928793,1.65204282183724,1.21768122104633,0.791528335510737,0.672501776761474,0.9427,0.8629,0.9977,0.9895,0.9935,0.9778,0.9061,0.7513
2,2,1,3,0.9,600,-3.44,-0.301507796359071,-0.0318439071628229,-0.0140358379161745,0.311618221792827,0.133028837713312,0.407503611496648,0.387292076744804,0.321152720457708,0.334355851228602,0.416026605781524,0.322369495722987,0.453619184550944,0.978262783751561,0.629411728671955,0.608088253366403,0.568477601934628,0.481794789299447,0.575332602389576,0.9543,0.9266,0.9442,0.7684,0.9142,0.707,0.9788,0.9501
