,dgp,error_distribution,running_variable,setup,p1,n,true_treatment_effect,median_bias_iv_ccf,median_bias_iv_ik,median_bias_lambda_1_ccf,median_bias_lambda_1_ik,median_bias_lambda_4_ccf,median_bias_lambda_4_ik,mad_iv_ccf,mad_iv_ik,mad_lambda_1_ccf,mad_lambda_1_ik,mad_lambda_4_ccf,mad_lambda_4_ik,rmse_iv_ccf,rmse_iv_ik,rmse_lambda_1_ccf,rmse_lambda_1_ik,rmse_lambda_4_ccf,rmse_lambda_4_ik,cov_iv_ccf,cov_iv_ik,cov_lambda_1_ccf,cov_lambda_1_ik,cov_lambda_4_ccf,cov_lambda_4_ik,cov_ar_ba_1,cov_ar_ba_2
3,1,1,1,1,0.9,300,0.04,0.044088017,0.052912626,0.050923958,0.057089247,0.040625384,0.049139292,0.158435024,0.136936055,0.13755618,0.123285339,0.119220482,0.111524719,60.1147546,0.750048188,0.220763211,0.194889886,0.185508866,0.169965607,0.9275,0.9273,0.9682,0.9606,0.9626,0.9577,0.982,0.9627
4,1,1,1,2,0.6,300,0.04,0.087785222,0.139513634,0.019933796,0.048580263,-0.008164045,0.004156177,0.499626933,0.484259747,0.173645607,0.182378865,0.093681451,0.093697547,143.3954157,41.39423574,0.283720098,0.299428914,0.147197107,0.150529772,0.9818,0.9822,0.9846,0.9839,0.9336,0.9383,0.9791,0.9611
5,1,1,1,2,0.7,300,0.04,0.104417101,0.129374357,0.068582059,0.093388896,0.022712046,0.040044813,0.321558039,0.282828716,0.178212454,0.180617325,0.107012646,0.109740261,35.9502373,10.71887738,0.287405318,0.289416303,0.166829664,0.171560525,0.9701,0.9696,0.9863,0.9857,0.9505,0.9554,0.9831,0.9634
6,1,1,1,2,0.8,300,0.04,0.074320515,0.083766925,0.071547991,0.081845324,0.041808605,0.054029172,0.216069318,0.188868029,0.166015164,0.15374299,0.122423999,0.119540997,79.84564586,6.228112251,0.265011206,0.248404164,0.185215913,0.181196166,0.9461,0.9448,0.9817,0.975,0.9631,0.9624,0.9797,0.959
7,1,1,1,2,0.9,300,0.04,0.042335646,0.052283341,0.052882455,0.057017628,0.04214448,0.049062716,0.156766254,0.136320941,0.138019061,0.119404085,0.1236351,0.109536732,4.023865425,1.283381031,0.223522849,0.193047812,0.187413848,0.169661875,0.9248,0.9251,0.9697,0.9583,0.9661,0.956,0.9791,0.9615
8,1,1,1,3,0.6,300,0.04,0.072184201,0.115974356,0.017864655,0.038968332,-0.009854796,-0.00136214,0.515303375,0.496029446,0.170056788,0.173150991,0.090332389,0.089061262,837.0277171,76.47704464,0.277681104,0.286936744,0.142976403,0.14224467,0.9831,0.983,0.9844,0.9855,0.9313,0.9344,0.977,0.9568
9,1,1,1,3,0.7,300,0.04,0.095762939,0.121146452,0.064253303,0.086388588,0.020117722,0.035697582,0.321242027,0.28458566,0.173231084,0.172515408,0.103063948,0.104676741,18.55607567,375.3325036,0.275521451,0.277306729,0.157531978,0.15988918,0.9675,0.9664,0.989,0.9886,0.9536,0.9573,0.9815,0.9622
10,1,1,1,3,0.8,300,0.04,0.073974154,0.088727349,0.073824042,0.083908036,0.042727117,0.055638817,0.220630035,0.191183746,0.166226582,0.155099207,0.120129869,0.118123419,17.78749736,3.022797636,0.263748797,0.246825687,0.179958023,0.175233489,0.9489,0.9473,0.9833,0.9795,0.9661,0.9655,0.9832,0.9642
11,1,1,1,3,0.9,300,0.04,0.045807714,0.053389526,0.051492109,0.056045277,0.040529807,0.04746622,0.158635558,0.136610801,0.136336479,0.120002356,0.120343772,0.108835641,3.595660228,0.473681495,0.220060658,0.191821942,0.185133079,0.167411008,0.9232,0.9238,0.9695,0.9637,0.9639,0.9612,0.9785,0.9593
12,1,1,1,1,0.6,600,0.04,0.14016775,0.197900992,0.057448057,0.104620158,0.006709478,0.030135535,0.470838015,0.44839854,0.174385073,0.1925433,0.086691736,0.092107268,33.85247858,10.43786657,0.284355326,0.302733332,0.139482226,0.146278785,0.9838,0.9863,0.9887,0.9882,0.9439,0.9462,0.9682,0.9585
13,1,1,1,1,0.7,600,0.04,0.111533191,0.138182469,0.093537381,0.123296548,0.044228603,0.072534955,0.246445012,0.217819161,0.165965548,0.168460239,0.104017416,0.110895964,52.17231853,14.68849882,0.263735702,0.265877393,0.158785371,0.166516062,0.9657,0.9659,0.9873,0.98,0.9617,0.9552,0.9667,0.9557
14,1,1,1,1,0.8,600,0.04,0.069800238,0.085602211,0.076202802,0.09048126,0.054618699,0.072910299,0.159970438,0.14148565,0.137243324,0.128658647,0.109111555,0.10761093,1.347783817,0.323721387,0.221996773,0.203226637,0.166292526,0.162140526,0.942,0.9466,0.969,0.9533,0.9583,0.9458,0.9644,0.956
15,1,1,1,1,0.9,600,0.04,0.042371975,0.052828797,0.04976528,0.060719744,0.043175292,0.056045868,0.116370032,0.101576178,0.10501791,0.095018789,0.097877316,0.089572642,2.247780824,0.16180878,0.1665778,0.147620431,0.150337952,0.137321672,0.9321,0.9342,0.9589,0.9409,0.9577,0.9409,0.9698,0.9604
16,1,1,1,2,0.6,600,0.04,0.147035048,0.213024902,0.065226586,0.112147546,0.011083971,0.035510184,0.460149827,0.438799744,0.179596063,0.196728491,0.089432144,0.097272776,56.41458169,3954.000692,0.289658273,0.31391226,0.14309773,0.155943049,0.9843,0.9878,0.9895,0.9878,0.9463,0.9428,0.9668,0.9539
17,1,1,1,2,0.7,600,0.04,0.116249236,0.143106584,0.101425563,0.132078688,0.050161856,0.081927834,0.245442246,0.223955216,0.174528903,0.173782852,0.111016552,0.11691242,19.38526172,5.453971285,0.273172144,0.275040839,0.166338583,0.176994342,0.9651,0.9657,0.9853,0.9753,0.9605,0.9509,0.9686,0.9556
18,1,1,1,2,0.8,600,0.04,0.072154199,0.083651228,0.076988751,0.088223748,0.05589005,0.071472899,0.159826364,0.140509094,0.138926702,0.128603079,0.111846795,0.110108197,0.69675311,0.449778044,0.221430468,0.203034909,0.168848455,0.165454624,0.9468,0.9483,0.967,0.9498,0.9589,0.9431,0.9698,0.9563
19,1,1,1,2,0.9,600,0.04,0.045592859,0.054682896,0.054116252,0.061888043,0.048119315,0.057907345,0.114778609,0.10322751,0.108005479,0.09836953,0.100723579,0.093098609,0.197461338,0.162724906,0.168008509,0.14844305,0.15307182,0.139360008,0.9325,0.9343,0.9548,0.9369,0.9529,0.9367,0.9705,0.9571
20,1,1,1,3,0.6,600,0.04,0.128325649,0.188379558,0.051634964,0.101480445,0.006081843,0.028247828,0.463198458,0.43396939,0.173167095,0.190494307,0.086777208,0.093944162,44.08082848,70.92428377,0.281862465,0.302442342,0.139405729,0.147113365,0.983,0.9857,0.9896,0.9889,0.9526,0.9469,0.9679,0.9559
21,1,1,1,3,0.7,600,0.04,0.109022371,0.139393671,0.09584034,0.125821934,0.042919091,0.073499165,0.253745899,0.224105299,0.17177921,0.17097245,0.106423993,0.113415755,23.92727024,6.076946211,0.272490886,0.272354715,0.162483098,0.171190598,0.9705,0.9693,0.9867,0.9777,0.9615,0.9488,0.9713,0.9559
22,1,1,1,3,0.8,600,0.04,0.067676819,0.085028885,0.076857964,0.090288984,0.054281304,0.07258558,0.163439518,0.143684045,0.139018586,0.127567499,0.110994482,0.108235514,2.308939039,0.682500896,0.218727055,0.20170227,0.165670984,0.161910411,0.9469,0.9442,0.9708,0.9509,0.962,0.9458,0.9704,0.9605
23,1,1,1,3,0.9,600,0.04,0.041227132,0.051680114,0.05042578,0.060411868,0.044611636,0.055906763,0.114902389,0.100671373,0.105129988,0.096086263,0.097369951,0.090475784,0.415232064,0.160523558,0.164561494,0.146246085,0.149181549,0.136482424,0.931,0.9331,0.9601,0.9417,0.9593,0.9418,0.9686,0.9601
0,1,2,1,1,0.6,300,0.04,0.0999547461244131,0.144746053940887,0.0268174054897061,0.045547909613564,-0.0076331966646043,0.0004835032647962,0.729407331409986,0.719313021143929,0.246930935568362,0.253136017280576,0.132319464401381,0.131273405550255,81.2327430794518,50.79171426656,0.472244710077129,0.475790666167855,0.243684174540857,0.243009665961421,0.9811,0.9861,0.9814,0.9865,0.9248,0.9372,0.9872,0.9726
1,1,2,1,1,0.7,300,0.04,0.106006043801638,0.127235173609151,0.0639284840124146,0.0917389930342255,0.0200533900832204,0.0405338627992255,0.458834138843644,0.413908005015609,0.262776063277214,0.261590085506856,0.157809604424864,0.159023835009021,26.4504181795295,12.4927476815543,0.469701433874545,0.467863933390841,0.273217797004778,0.2794618115301,0.9722,0.9754,0.9891,0.9905,0.9551,0.9597,0.9871,0.977
